assignment_id,customer_id,consultant_id,service,date,start_time,end_time,status
ASSIGN_300019,CUST_WAREHOUSE_6,CONS_100004,Picker,2026-02-24,'06:00','14:00',CONFIRMED
ASSIGN_300020,CUST_WAREHOUSE_10,CONS_100005,InventoryControl,2026-02-16,'14:00','22:00',CONFIRMED
ASSIGN_300021,CUST_WAREHOUSE_5,CONS_100005,ForkliftOperator,2026-02-27,'06:00','14:00',CONFIRMED
ASSIGN_300022,CUST_WAREHOUSE_10,CONS_100005,InventoryControl,2026-02-23,'08:00','16:00',CONFIRMED
ASSIGN_300023,CUST_WAREHOUSE_10,CONS_100005,InventoryControl,2026-02-26,'14:00','22:00',CONFIRMED
ASSIGN_300024,CUST_WAREHOUSE_10,CONS_100005,InventoryControl,2026-02-20,'06:00','14:00',CONFIRMED
ASSIGN_300025,CUST_WAREHOUSE_8,CONS_100006,Packer,2026-02-25,'06:00','14:00',CONFIRMED
ASSIGN_300026,CUST_WAREHOUSE_9,CONS_100006,Packer,2026-02-27,'14:00','22:00',CONFIRMED
ASSIGN_300027,CUST_WAREHOUSE_8,CONS_100006,Packer,2026-02-27,'08:00','16:00',CONFIRMED
ASSIGN_300028,CUST_WAREHOUSE_6,CONS_100007,Packer,2026-02-17,'06:00','14:00',CONFIRMED
ASSIGN_300029,CUST_WAREHOUSE_6,CONS_100007,ForkliftOperator,2026-02-26,'06:00','14:00',CONFIRMED
ASSIGN_300030,CUST_WAREHOUSE_1,CONS_100007,ForkliftOperator,2026-02-18,'06:00','14:00',CONFIRMED
ASSIGN_300031,CUST_WAREHOUSE_1,CONS_100007,ForkliftOperator,2026-02-16,'06:00','14:00',CONFIRMED
ASSIGN_300032,CUST_WAREHOUSE_6,CONS_100007,ForkliftOperator,2026-02-20,'14:00','22:00',CONFIRMED
ASSIGN_300033,CUST_WAREHOUSE_2,CONS_100008,Picker,2026-02-16,'06:00','14:00',CONFIRMED
ASSIGN_300034,CUST_WAREHOUSE_2,CONS_100008,Picker,2026-02-20,'08:00','16:00',CONFIRMED
ASSIGN_300035,CUST_WAREHOUSE_2,CONS_100008,Picker,2026-02-18,'08:00','16:00',CONFIRMED
ASSIGN_300036,CUST_WAREHOUSE_2,CONS_100008,Picker,2026-02-27,'08:00','16:00',CONFIRMED
ASSIGN_300037,CUST_WAREHOUSE_2,CONS_100008,Picker,2026-02-16,'14:00','22:00',CONFIRMED
ASSIGN_300038,CUST_WAREHOUSE_6,CONS_100009,TeamLead,2026-02-25,'06:00','14:00',CONFIRMED
ASSIGN_300039,CUST_WAREHOUSE_1,CONS_100009,ForkliftOperator,2026-02-17,'06:00','14:00',CONFIRMED
ASSIGN_300040,CUST_WAREHOUSE_6,CONS_100009,ForkliftOperator,2026-02-18,'06:00','14:00',CONFIRMED
ASSIGN_300041,CUST_WAREHOUSE_2,CONS_100010,Packer,2026-02-26,'08:00','16:00',CONFIRMED
ASSIGN_300042,CUST_WAREHOUSE_2,CONS_100010,Packer,2026-02-16,'14:00','22:00',CONFIRMED
ASSIGN_300043,CUST_WAREHOUSE_2,CONS_100010,ForkliftOperator,2026-02-24,'14:00','22:00',CONFIRMED
ASSIGN_300044,CUST_WAREHOUSE_2,CONS_100010,Packer,2026-02-23,'14:00','22:00',CONFIRMED
ASSIGN_300045,CUST_WAREHOUSE_2,CONS_100010,Packer,2026-02-19,'08:00','16:00',CONFIRMED
ASSIGN_300046,CUST_WAREHOUSE_2,CONS_100010,InventoryControl,2026-02-17,'08:00','16:00',CONFIRMED
ASSIGN_300047,CUST_WAREHOUSE_1,CONS_100011,InventoryControl,2026-02-23,'08:00','16:00',CONFIRMED
ASSIGN_300048,CUST_WAREHOUSE_6,CONS_100011,Packer,2026-02-18,'06:00','14:00',CONFIRMED
ASSIGN_300049,CUST_WAREHOUSE_6,CONS_100011,InventoryControl,2026-02-26,'06:00','14:00',CONFIRMED
ASSIGN_300050,CUST_WAREHOUSE_1,CONS_100011,InventoryControl,2026-02-26,'14:00','22:00',CONFIRMED
ASSIGN_300051,CUST_WAREHOUSE_6,CONS_100011,Packer,2026-02-24,'06:00','14:00',CONFIRMED
ASSIGN_300052,CUST_WAREHOUSE_1,CONS_100011,InventoryControl,2026-02-17,'14:00','22:00',CONFIRMED
ASSIGN_300053,CUST_WAREHOUSE_2,CONS_100012,Picker,2026-02-26,'06:00','14:00',CONFIRMED
ASSIGN_300054,CUST_WAREHOUSE_2,CONS_100012,Picker,2026-02-23,'08:00','16:00',SICK_REPORTED
ASSIGN_300055,CUST_WAREHOUSE_2,CONS_100012,Picker,2026-02-25,'08:00','16:00',SICK_REPORTED
ASSIGN_300056,CUST_WAREHOUSE_2,CONS_100012,Picker,2026-02-16,'14:00','22:00',CONFIRMED
ASSIGN_300057,CUST_WAREHOUSE_2,CONS_100012,Picker,2026-02-17,'06:00','14:00',CONFIRMED
ASSIGN_300058,CUST_WAREHOUSE_2,CONS_100012,Picker,2026-02-19,'14:00','22:00',CONFIRMED
ASSIGN_300059,CUST_WAREHOUSE_5,CONS_100013,InventoryControl,2026-02-17,'08:00','16:00',CONFIRMED
ASSIGN_300060,CUST_WAREHOUSE_5,CONS_100013,Picker,2026-02-16,'08:00','16:00',CONFIRMED
ASSIGN_300061,CUST_WAREHOUSE_5,CONS_100013,InventoryControl,2026-02-23,'08:00','16:00',CONFIRMED
ASSIGN_300062,CUST_WAREHOUSE_3,CONS_100013,Picker,2026-02-24,'08:00','16:00',CONFIRMED
ASSIGN_300063,CUST_WAREHOUSE_5,CONS_100013,InventoryControl,2026-02-17,'06:00','14:00',CONFIRMED
ASSIGN_300064,CUST_WAREHOUSE_3,CONS_100014,ForkliftOperator,2026-02-16,'06:00','14:00',CONFIRMED
ASSIGN_300065,CUST_WAREHOUSE_3,CONS_100014,ForkliftOperator,2026-02-19,'14:00','22:00',CONFIRMED
ASSIGN_300066,CUST_WAREHOUSE_3,CONS_100014,ForkliftOperator,2026-02-19,'06:00','14:00',CONFIRMED
ASSIGN_300067,CUST_WAREHOUSE_3,CONS_100014,ForkliftOperator,2026-02-26,'14:00','22:00',CONFIRMED
ASSIGN_300068,CUST_WAREHOUSE_3,CONS_100014,ForkliftOperator,2026-02-16,'08:00','16:00',CONFIRMED
ASSIGN_300069,CUST_WAREHOUSE_3,CONS_100014,ForkliftOperator,2026-02-26,'08:00','16:00',CONFIRMED
ASSIGN_300070,CUST_WAREHOUSE_4,CONS_100015,Picker,2026-02-27,'08:00','16:00',LATE_REPORTED
ASSIGN_300071,CUST_WAREHOUSE_5,CONS_100015,Picker,2026-02-26,'06:00','14:00',CONFIRMED
ASSIGN_300072,CUST_WAREHOUSE_5,CONS_100015,Picker,2026-02-19,'14:00','22:00',CONFIRMED
ASSIGN_300073,CUST_WAREHOUSE_9,CONS_100015,InventoryControl,2026-02-24,'06:00','14:00',CONFIRMED
ASSIGN_300074,CUST_WAREHOUSE_10,CONS_100015,InventoryControl,2026-02-16,'06:00','14:00',CONFIRMED
ASSIGN_300075,CUST_WAREHOUSE_1,CONS_100016,Picker,2026-02-20,'14:00','22:00',CONFIRMED
ASSIGN_300076,CUST_WAREHOUSE_6,CONS_100016,Picker,2026-02-23,'14:00','22:00',CONFIRMED
ASSIGN_300077,CUST_WAREHOUSE_6,CONS_100016,Picker,2026-02-18,'08:00','16:00',CONFIRMED
ASSIGN_300078,CUST_WAREHOUSE_1,CONS_100016,TeamLead,2026-02-18,'14:00','22:00',CONFIRMED
ASSIGN_300079,CUST_WAREHOUSE_8,CONS_100017,ForkliftOperator,2026-02-19,'14:00','22:00',CONFIRMED
ASSIGN_300080,CUST_WAREHOUSE_7,CONS_100017,Packer,2026-02-18,'08:00','16:00',CONFIRMED
ASSIGN_300081,CUST_WAREHOUSE_4,CONS_100017,ForkliftOperator,2026-02-20,'14:00','22:00',SICK_REPORTED
ASSIGN_300082,CUST_WAREHOUSE_1,CONS_100018,ForkliftOperator,2026-02-19,'14:00','22:00',CONFIRMED
ASSIGN_300083,CUST_WAREHOUSE_6,CONS_100018,Packer,2026-02-25,'08:00','16:00',CONFIRMED
ASSIGN_300084,CUST_WAREHOUSE_1,CONS_100018,ForkliftOperator,2026-02-17,'08:00','16:00',CONFIRMED
ASSIGN_300085,CUST_WAREHOUSE_6,CONS_100018,InventoryControl,2026-02-16,'06:00','14:00',CONFIRMED
ASSIGN_300086,CUST_WAREHOUSE_4,CONS_100019,Packer,2026-02-25,'14:00','22:00',LATE_REPORTED
ASSIGN_300087,CUST_WAREHOUSE_9,CONS_100019,Packer,2026-02-20,'06:00','14:00',CONFIRMED
ASSIGN_300088,CUST_WAREHOUSE_8,CONS_100019,Packer,2026-02-17,'06:00','14:00',CONFIRMED
ASSIGN_300089,CUST_WAREHOUSE_2,CONS_100019,Packer,2026-02-26,'14:00','22:00',CONFIRMED
ASSIGN_300090,CUST_WAREHOUSE_4,CONS_100019,Packer,2026-02-19,'08:00','16:00',CONFIRMED
ASSIGN_300091,CUST_WAREHOUSE_7,CONS_100019,Packer,2026-02-27,'14:00','22:00',CONFIRMED
ASSIGN_300092,CUST_WAREHOUSE_9,CONS_100020,Packer,2026-02-23,'08:00','16:00',CONFIRMED
ASSIGN_300093,CUST_WAREHOUSE_4,CONS_100020,Picker,2026-02-18,'14:00','22:00',LATE_REPORTED
ASSIGN_300094,CUST_WAREHOUSE_9,CONS_100020,Packer,2026-02-26,'06:00','14:00',CONFIRMED
ASSIGN_300095,CUST_WAREHOUSE_7,CONS_100020,Packer,2026-02-26,'14:00','22:00',CONFIRMED
ASSIGN_300096,CUST_WAREHOUSE_2,CONS_100021,ForkliftOperator,2026-02-20,'08:00','16:00',CONFIRMED
ASSIGN_300097,CUST_WAREHOUSE_2,CONS_100021,ForkliftOperator,2026-02-16,'08:00','16:00',CONFIRMED
ASSIGN_300098,CUST_WAREHOUSE_2,CONS_100021,ForkliftOperator,2026-02-27,'08:00','16:00',CONFIRMED
ASSIGN_300099,CUST_WAREHOUSE_2,CONS_100021,ForkliftOperator,2026-02-18,'08:00','16:00',CONFIRMED
ASSIGN_300100,CUST_WAREHOUSE_1,CONS_100022,ForkliftOperator,2026-02-20,'08:00','16:00',CONFIRMED
ASSIGN_300101,CUST_WAREHOUSE_1,CONS_100022,ForkliftOperator,2026-02-16,'08:00','16:00',CONFIRMED
ASSIGN_300102,CUST_WAREHOUSE_1,CONS_100022,ForkliftOperator,2026-02-24,'08:00','16:00',CONFIRMED
ASSIGN_300103,CUST_WAREHOUSE_1,CONS_100022,ForkliftOperator,2026-02-17,'06:00','14:00',CONFIRMED
ASSIGN_300104,CUST_WAREHOUSE_3,CONS_100023,Packer,2026-02-16,'14:00','22:00',CONFIRMED
ASSIGN_300105,CUST_WAREHOUSE_3,CONS_100023,Packer,2026-02-17,'08:00','16:00',CONFIRMED
ASSIGN_300106,CUST_WAREHOUSE_3,CONS_100023,Packer,2026-02-18,'06:00','14:00',CONFIRMED
ASSIGN_300107,CUST_WAREHOUSE_3,CONS_100023,Packer,2026-02-19,'06:00','14:00',CONFIRMED
ASSIGN_300108,CUST_WAREHOUSE_3,CONS_100023,Packer,2026-02-25,'08:00','16:00',CONFIRMED
ASSIGN_300109,CUST_WAREHOUSE_5,CONS_100024,ForkliftOperator,2026-02-26,'06:00','14:00',CONFIRMED
ASSIGN_300110,CUST_WAREHOUSE_5,CONS_100024,ForkliftOperator,2026-02-17,'14:00','22:00',SICK_REPORTED
ASSIGN_300111,CUST_WAREHOUSE_5,CONS_100024,ForkliftOperator,2026-02-27,'14:00','22:00',CONFIRMED
ASSIGN_300112,CUST_WAREHOUSE_5,CONS_100024,ForkliftOperator,2026-02-18,'08:00','16:00',CONFIRMED
ASSIGN_300113,CUST_WAREHOUSE_2,CONS_100025,Picker,2026-02-19,'06:00','14:00',CONFIRMED
ASSIGN_300114,CUST_WAREHOUSE_2,CONS_100025,Picker,2026-02-19,'08:00','16:00',SICK_REPORTED
ASSIGN_300115,CUST_WAREHOUSE_2,CONS_100025,Picker,2026-02-16,'14:00','22:00',CONFIRMED
ASSIGN_300116,CUST_WAREHOUSE_2,CONS_100025,Picker,2026-02-27,'06:00','14:00',CONFIRMED
ASSIGN_300117,CUST_WAREHOUSE_2,CONS_100025,Picker,2026-02-16,'06:00','14:00',CONFIRMED
ASSIGN_300118,CUST_WAREHOUSE_9,CONS_100026,InventoryControl,2026-02-16,'14:00','22:00',CONFIRMED
ASSIGN_300119,CUST_WAREHOUSE_4,CONS_100026,ForkliftOperator,2026-02-23,'08:00','16:00',CONFIRMED
ASSIGN_300120,CUST_WAREHOUSE_9,CONS_100026,ForkliftOperator,2026-02-26,'14:00','22:00',CONFIRMED
ASSIGN_300121,CUST_WAREHOUSE_7,CONS_100026,InventoryControl,2026-02-26,'06:00','14:00',CONFIRMED
ASSIGN_300122,CUST_WAREHOUSE_7,CONS_100026,InventoryControl,2026-02-19,'08:00','16:00',CONFIRMED
ASSIGN_300123,CUST_WAREHOUSE_9,CONS_100026,InventoryControl,2026-02-25,'06:00','14:00',CONFIRMED
ASSIGN_300124,CUST_WAREHOUSE_1,CONS_100027,ForkliftOperator,2026-02-20,'14:00','22:00',SICK_REPORTED
ASSIGN_300125,CUST_WAREHOUSE_1,CONS_100027,ForkliftOperator,2026-02-23,'14:00','22:00',CONFIRMED
ASSIGN_300126,CUST_WAREHOUSE_1,CONS_100027,ForkliftOperator,2026-02-16,'14:00','22:00',CONFIRMED
ASSIGN_300127,CUST_WAREHOUSE_10,CONS_100027,ForkliftOperator,2026-02-19,'06:00','14:00',CONFIRMED
ASSIGN_300128,CUST_WAREHOUSE_2,CONS_100028,ForkliftOperator,2026-02-23,'14:00','22:00',CONFIRMED
ASSIGN_300129,CUST_WAREHOUSE_2,CONS_100028,ForkliftOperator,2026-02-24,'14:00','22:00',CONFIRMED
ASSIGN_300130,CUST_WAREHOUSE_2,CONS_100028,ForkliftOperator,2026-02-27,'06:00','14:00',CONFIRMED
ASSIGN_300131,CUST_WAREHOUSE_2,CONS_100028,ForkliftOperator,2026-02-25,'06:00','14:00',SICK_REPORTED
ASSIGN_300132,CUST_WAREHOUSE_10,CONS_100029,Packer,2026-02-27,'08:00','16:00',CONFIRMED
ASSIGN_300133,CUST_WAREHOUSE_10,CONS_100029,Packer,2026-02-16,'08:00','16:00',CONFIRMED
ASSIGN_300134,CUST_WAREHOUSE_5,CONS_100029,Picker,2026-02-20,'08:00','16:00',CONFIRMED
ASSIGN_300135,CUST_WAREHOUSE_10,CONS_100029,Picker,2026-02-20,'14:00','22:00',CONFIRMED
ASSIGN_300136,CUST_WAREHOUSE_5,CONS_100029,Packer,2026-02-18,'14:00','22:00',CONFIRMED
ASSIGN_300137,CUST_WAREHOUSE_5,CONS_100029,Picker,2026-02-27,'06:00','14:00',CONFIRMED
ASSIGN_300138,CUST_WAREHOUSE_10,CONS_100030,InventoryControl,2026-02-18,'14:00','22:00',CONFIRMED
ASSIGN_300139,CUST_WAREHOUSE_5,CONS_100030,Picker,2026-02-19,'06:00','14:00',CONFIRMED
ASSIGN_300140,CUST_WAREHOUSE_10,CONS_100030,InventoryControl,2026-02-20,'06:00','14:00',CONFIRMED
ASSIGN_300141,CUST_WAREHOUSE_10,CONS_100030,InventoryControl,2026-02-23,'08:00','16:00',CONFIRMED
ASSIGN_300142,CUST_WAREHOUSE_10,CONS_100030,InventoryControl,2026-02-25,'08:00','16:00',CONFIRMED
ASSIGN_300143,CUST_WAREHOUSE_5,CONS_100030,InventoryControl,2026-02-25,'14:00','22:00',CONFIRMED
ASSIGN_300144,CUST_WAREHOUSE_6,CONS_100031,Picker,2026-02-17,'06:00','14:00',CONFIRMED
ASSIGN_300145,CUST_WAREHOUSE_1,CONS_100031,Picker,2026-02-26,'08:00','16:00',CONFIRMED
ASSIGN_300146,CUST_WAREHOUSE_6,CONS_100031,Picker,2026-02-18,'14:00','22:00',LATE_REPORTED
ASSIGN_300147,CUST_WAREHOUSE_6,CONS_100031,Picker,2026-02-18,'06:00','14:00',CONFIRMED
ASSIGN_300148,CUST_WAREHOUSE_5,CONS_100032,ForkliftOperator,2026-02-19,'06:00','14:00',CONFIRMED
ASSIGN_300149,CUST_WAREHOUSE_10,CONS_100032,ForkliftOperator,2026-02-19,'08:00','16:00',CONFIRMED
ASSIGN_300150,CUST_WAREHOUSE_5,CONS_100032,ForkliftOperator,2026-02-25,'14:00','22:00',CONFIRMED
ASSIGN_300151,CUST_WAREHOUSE_10,CONS_100032,Picker,2026-02-17,'14:00','22:00',CONFIRMED
ASSIGN_300152,CUST_WAREHOUSE_5,CONS_100032,ForkliftOperator,2026-02-25,'08:00','16:00',CONFIRMED
ASSIGN_300153,CUST_WAREHOUSE_9,CONS_100033,InventoryControl,2026-02-16,'06:00','14:00',CONFIRMED
ASSIGN_300154,CUST_WAREHOUSE_4,CONS_100033,Packer,2026-02-24,'14:00','22:00',LATE_REPORTED
ASSIGN_300155,CUST_WAREHOUSE_9,CONS_100033,InventoryControl,2026-02-25,'06:00','14:00',NO_SHOW
ASSIGN_300156,CUST_WAREHOUSE_3,CONS_100034,ForkliftOperator,2026-02-20,'14:00','22:00',CONFIRMED
ASSIGN_300157,CUST_WAREHOUSE_5,CONS_100034,ForkliftOperator,2026-02-18,'08:00','16:00',CONFIRMED
ASSIGN_300158,CUST_WAREHOUSE_10,CONS_100034,InventoryControl,2026-02-24,'14:00','22:00',CONFIRMED
ASSIGN_300159,CUST_WAREHOUSE_10,CONS_100034,InventoryControl,2026-02-19,'14:00','22:00',CONFIRMED
ASSIGN_300160,CUST_WAREHOUSE_3,CONS_100035,ForkliftOperator,2026-02-24,'06:00','14:00',CONFIRMED
ASSIGN_300161,CUST_WAREHOUSE_3,CONS_100035,ForkliftOperator,2026-02-23,'08:00','16:00',CONFIRMED
ASSIGN_300162,CUST_WAREHOUSE_3,CONS_100035,ForkliftOperator,2026-02-25,'14:00','22:00',NO_SHOW
ASSIGN_300163,CUST_WAREHOUSE_9,CONS_100036,InventoryControl,2026-02-19,'06:00','14:00',CONFIRMED
ASSIGN_300164,CUST_WAREHOUSE_4,CONS_100036,ForkliftOperator,2026-02-25,'14:00','22:00',CONFIRMED
ASSIGN_300165,CUST_WAREHOUSE_7,CONS_100036,InventoryControl,2026-02-27,'14:00','22:00',CONFIRMED
ASSIGN_300166,CUST_WAREHOUSE_9,CONS_100036,ForkliftOperator,2026-02-26,'14:00','22:00',NO_SHOW
ASSIGN_300167,CUST_WAREHOUSE_4,CONS_100036,ForkliftOperator,2026-02-26,'08:00','16:00',LATE_REPORTED
ASSIGN_300168,CUST_WAREHOUSE_8,CONS_100036,Picker,2026-02-24,'08:00','16:00',CONFIRMED
ASSIGN_300169,CUST_WAREHOUSE_10,CONS_100037,Packer,2026-02-23,'08:00','16:00',CONFIRMED
ASSIGN_300170,CUST_WAREHOUSE_5,CONS_100037,ForkliftOperator,2026-02-17,'06:00','14:00',CONFIRMED
ASSIGN_300171,CUST_WAREHOUSE_5,CONS_100037,ForkliftOperator,2026-02-25,'08:00','16:00',CONFIRMED
ASSIGN_300172,CUST_WAREHOUSE_5,CONS_100037,ForkliftOperator,2026-02-18,'14:00','22:00',CONFIRMED
ASSIGN_300173,CUST_WAREHOUSE_5,CONS_100038,Picker,2026-02-16,'14:00','22:00',NO_SHOW
ASSIGN_300174,CUST_WAREHOUSE_10,CONS_100038,InventoryControl,2026-02-25,'06:00','14:00',CONFIRMED
ASSIGN_300175,CUST_WAREHOUSE_5,CONS_100038,Picker,2026-02-18,'06:00','14:00',CONFIRMED
ASSIGN_300176,CUST_WAREHOUSE_1,CONS_100039,ForkliftOperator,2026-02-19,'14:00','22:00',CONFIRMED
ASSIGN_300177,CUST_WAREHOUSE_6,CONS_100039,Packer,2026-02-26,'14:00','22:00',CONFIRMED
ASSIGN_300178,CUST_WAREHOUSE_2,CONS_100039,Packer,2026-02-16,'08:00','16:00',CONFIRMED
ASSIGN_300179,CUST_WAREHOUSE_2,CONS_100039,Packer,2026-02-19,'08:00','16:00',CONFIRMED
ASSIGN_300180,CUST_WAREHOUSE_6,CONS_100039,ForkliftOperator,2026-02-18,'06:00','14:00',CONFIRMED
ASSIGN_300181,CUST_WAREHOUSE_1,CONS_100040,InventoryControl,2026-02-18,'08:00','16:00',NO_SHOW
ASSIGN_300182,CUST_WAREHOUSE_1,CONS_100040,InventoryControl,2026-02-25,'14:00','22:00',CONFIRMED
ASSIGN_300183,CUST_WAREHOUSE_6,CONS_100040,InventoryControl,2026-02-18,'06:00','14:00',CONFIRMED
ASSIGN_300184,CUST_WAREHOUSE_1,CONS_100040,Packer,2026-02-25,'06:00','14:00',SICK_REPORTED
ASSIGN_300185,CUST_WAREHOUSE_6,CONS_100040,InventoryControl,2026-02-17,'08:00','16:00',SICK_REPORTED
ASSIGN_300186,CUST_WAREHOUSE_6,CONS_100040,Packer,2026-02-26,'14:00','22:00',CONFIRMED
ASSIGN_300187,CUST_WAREHOUSE_7,CONS_100041,InventoryControl,2026-02-19,'14:00','22:00',CONFIRMED
ASSIGN_300188,CUST_WAREHOUSE_4,CONS_100041,ForkliftOperator,2026-02-24,'06:00','14:00',CONFIRMED
ASSIGN_300189,CUST_WAREHOUSE_7,CONS_100041,InventoryControl,2026-02-18,'14:00','22:00',CONFIRMED
ASSIGN_300190,CUST_WAREHOUSE_7,CONS_100041,InventoryControl,2026-02-27,'06:00','14:00',CONFIRMED
ASSIGN_300191,CUST_WAREHOUSE_7,CONS_100041,InventoryControl,2026-02-16,'14:00','22:00',NO_SHOW
ASSIGN_300192,CUST_WAREHOUSE_1,CONS_100042,ForkliftOperator,2026-02-16,'06:00','14:00',CONFIRMED
ASSIGN_300193,CUST_WAREHOUSE_6,CONS_100042,Picker,2026-02-24,'08:00','16:00',SICK_REPORTED
ASSIGN_300194,CUST_WAREHOUSE_2,CONS_100042,Picker,2026-02-17,'08:00','16:00',CONFIRMED
ASSIGN_300195,CUST_WAREHOUSE_6,CONS_100042,Picker,2026-02-27,'14:00','22:00',CONFIRMED
ASSIGN_300196,CUST_WAREHOUSE_6,CONS_100042,Picker,2026-02-26,'08:00','16:00',CONFIRMED
ASSIGN_300197,CUST_WAREHOUSE_6,CONS_100042,Picker,2026-02-19,'14:00','22:00',CONFIRMED
ASSIGN_300198,CUST_WAREHOUSE_4,CONS_100043,Packer,2026-02-27,'08:00','16:00',CONFIRMED
ASSIGN_300199,CUST_WAREHOUSE_9,CONS_100043,Packer,2026-02-19,'08:00','16:00',CONFIRMED
ASSIGN_300200,CUST_WAREHOUSE_8,CONS_100043,Picker,2026-02-17,'08:00','16:00',CONFIRMED
ASSIGN_300201,CUST_WAREHOUSE_9,CONS_100044,ForkliftOperator,2026-02-18,'14:00','22:00',CONFIRMED
ASSIGN_300202,CUST_WAREHOUSE_9,CONS_100044,Picker,2026-02-25,'14:00','22:00',CONFIRMED
ASSIGN_300203,CUST_WAREHOUSE_5,CONS_100044,ForkliftOperator,2026-02-17,'08:00','16:00',CONFIRMED
ASSIGN_300204,CUST_WAREHOUSE_10,CONS_100044,Picker,2026-02-26,'06:00','14:00',SICK_REPORTED
ASSIGN_300205,CUST_WAREHOUSE_8,CONS_100045,Picker,2026-02-27,'14:00','22:00',CONFIRMED
ASSIGN_300206,CUST_WAREHOUSE_4,CONS_100045,Picker,2026-02-27,'06:00','14:00',SICK_REPORTED
ASSIGN_300207,CUST_WAREHOUSE_2,CONS_100045,Picker,2026-02-17,'08:00','16:00',CONFIRMED
ASSIGN_300208,CUST_WAREHOUSE_4,CONS_100045,TeamLead,2026-02-19,'14:00','22:00',CONFIRMED
ASSIGN_300209,CUST_WAREHOUSE_4,CONS_100045,Picker,2026-02-24,'08:00','16:00',CONFIRMED
ASSIGN_300210,CUST_WAREHOUSE_2,CONS_100046,InventoryControl,2026-02-25,'14:00','22:00',CONFIRMED
ASSIGN_300211,CUST_WAREHOUSE_2,CONS_100046,Packer,2026-02-16,'14:00','22:00',CONFIRMED
ASSIGN_300212,CUST_WAREHOUSE_2,CONS_100046,Packer,2026-02-16,'06:00','14:00',LATE_REPORTED
ASSIGN_300213,CUST_WAREHOUSE_2,CONS_100046,Packer,2026-02-26,'06:00','14:00',CONFIRMED
ASSIGN_300214,CUST_WAREHOUSE_2,CONS_100047,Picker,2026-02-27,'14:00','22:00',CONFIRMED
ASSIGN_300215,CUST_WAREHOUSE_2,CONS_100047,Picker,2026-02-23,'14:00','22:00',CONFIRMED
ASSIGN_300216,CUST_WAREHOUSE_2,CONS_100047,Picker,2026-02-23,'08:00','16:00',CONFIRMED
ASSIGN_300217,CUST_WAREHOUSE_2,CONS_100047,Picker,2026-02-20,'06:00','14:00',CONFIRMED
ASSIGN_300218,CUST_WAREHOUSE_2,CONS_100048,InventoryControl,2026-02-19,'06:00','14:00',CONFIRMED
ASSIGN_300219,CUST_WAREHOUSE_2,CONS_100048,ForkliftOperator,2026-02-17,'14:00','22:00',SICK_REPORTED
ASSIGN_300220,CUST_WAREHOUSE_2,CONS_100048,ForkliftOperator,2026-02-20,'06:00','14:00',CONFIRMED
ASSIGN_300221,CUST_WAREHOUSE_2,CONS_100048,InventoryControl,2026-02-24,'08:00','16:00',SICK_REPORTED
ASSIGN_300222,CUST_WAREHOUSE_2,CONS_100048,InventoryControl,2026-02-23,'06:00','14:00',CONFIRMED
ASSIGN_300223,CUST_WAREHOUSE_8,CONS_100049,Picker,2026-02-23,'14:00','22:00',CONFIRMED
